article_id,year,decade,journal,title,intended_outcome__belonging_and_community,intended_outcome__belonging_and_community_engagement_and_participation,intended_outcome__belonging_and_community_learning_and_literacy,intended_outcome__belonging_and_community_wellness_and_resilience,intended_outcome__collections_and_access,intended_outcome__cultural_stewardship_and_preservation,intended_outcome__cultural_stewardship_and_preservation_belonging_and_community,intended_outcome__cultural_stewardship_and_preservation_discovery_and_advisory,intended_outcome__discovery_and_advisory,intended_outcome__discovery_and_advisory_equitable_access,intended_outcome__discovery_and_advisory_institutional_capacity,intended_outcome__engagement_and_participation,intended_outcome__engagement_and_participation_discovery_and_advisory,intended_outcome__engagement_and_participation_equitable_access,intended_outcome__engagement_and_participation_equitable_access_learning_and_literacy,intended_outcome__engagement_and_participation_institutional_capacity,intended_outcome__equitable_access,intended_outcome__equitable_access_belonging_and_community,intended_outcome__equitable_access_community_and_inclusion,intended_outcome__equitable_access_cultural_stewardship_and_preservation,intended_outcome__equitable_access_discovery_and_advisory,intended_outcome__equitable_access_engagement_and_participation,intended_outcome__equitable_access_institutional_capacity,intended_outcome__equitable_access_learning_and_literacy,intended_outcome__institutional_capacity,intended_outcome__institutional_capacity_belonging_and_community,intended_outcome__institutional_capacity_social_equity_and_access,intended_outcome__learning_and_literacy,intended_outcome__learning_and_literacy_belonging_and_community,intended_outcome__learning_and_literacy_discovery_and_advisory,intended_outcome__learning_and_literacy_engagement_and_participation,intended_outcome__learning_and_literacy_equitable_access,intended_outcome__learning_and_literacy_institutional_capacity,intended_outcome__not_applicable,intended_outcome__other,intended_outcome__professional_capacity,intended_outcome__space_and_infrastructure,intended_outcome__sustainable_operations,intended_outcome__theoretical_or_conceptual,intended_outcome__wellness_and_resilience
agarwal2024,2024,2020s,Library Trends,Are Knowledge Management Courses in South Asia Designed Well? A Content Analysis of Syllabi and a Case Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agingu2000,2000,2000s,College & Research Libraries,Library Web Sites at Historically Black Colleges and Universities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
agosto2007,2007,2000s,Library Trends,The Female-Friendly Public Library: Gender Differences in Adolescents’ Uses and Perceptions of U.S. Public Libraries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
aharony2014,2014,2010s,College & Research Libraries,Factors Affecting Adoption of Facebook: An Exploratory Study of the LIS Community Perspective,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ahmed2024,2024,2020s,Library Trends,The Colonial Adventures of Confiscated Arabic Texts: Ibn Battuta's Rihla Manuscript from North Africa to the French National Library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ajis2022,2022,2020s,Library Trends,Trends of LIS Education and Practice in Asia and Oceania: A Bibliometric Analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
akbari2023,2023,2020s,Library Trends,Huluniixsuwaakan: The Role of the Library in Munsee Delaware Language Revitalization and the Development of Community Relationships on Lenape Land,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alabi2020,2020,2020s,College & Research Libraries,"Pushing the Margins: Women of Color and Intersectionality in LIS. Rose L. Chou and Annie Pho, eds. Sacramento, CA: Library Juice Press, 2018. 508p. $35.00 (ISBN 978-1-63400-052-9).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
albarillo2017,2017,2010s,College & Research Libraries,Is the Library’s Online Orientation Program Effective with English Language Learners?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
albarillo2018,2018,2010s,College & Research Libraries,Information Code-Switching: A Study of Language Preferences in Academic Libraries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
alcivarestrella2025,2025,2020s,College & Research Libraries,Creating an Inclusive Library: Approaches for Increasing Engagement and Use with Students of Color,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aldrich2009,2009,2000s,College & Research Libraries,Judging Books by Their Covers: Managing the Tensions between Paperback and Clothbound Purchases in Academic Libraries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
alexander2025,2025,2020s,Information Technology and Libraries,Invisible Default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aligrudic2010,2010,2010s,Library Trends,The Parliamentary Library of Montenegro: Coming out from the Past,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
aliprand2005,2005,2000s,Information Technology and Libraries,The Structure and Content of MARC 21 Records in the Unicode Environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
allard2015,2015,2010s,Library Trends,"Antiviolence and Marginalized Communities: Knowledge Creation, Community Mobilization, and Social Justice through a Participatory Archiving Approach",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allen2022,2022,2020s,College & Research Libraries,"Craig Robertson. The Filing Cabinet: A Vertical History of Information. Minneapolis, MN: University of Minnesota Press, 2021. 280p. Paper, $27.95 (ISBN 978-1517909468).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
allinson2008,2008,2000s,Library Trends,Describing Scholarly Works with Dublin Core: A Functional Approach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
allison2000,2000,2000s,College & Research Libraries,Database Selection: One Size Does Not Fit All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
allison2007,2007,2000s,Library Trends,Women’s Health: Librarian as Social Entrepreneur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allisonbunnell2024,2024,2020s,College & Research Libraries,"Leaning Into the Future, Together: Applying Business Process Management to Increase Efficiency and Manage Change in Archives and Special Collections",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
almeida2021,2021,2020s,College & Research Libraries,"Anna Watkins Fisher. The Play in the System: The Art of Parasitical Resistance. Durham, NC: Duke University Press, 2020. 292p. Paper, $27.95 (ISBN 978-1-4780-0970-2).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
almeida2022,2022,2020s,College & Research Libraries,Library Tautology: A Reenactment of the One-Shot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
alston2021,2021,2020s,College & Research Libraries,"Renate L. Chancellor. E.J. Josey: Transformational Leader of the Modern Library Profession.Lanham, MD: Rowman Littlefield, 2020. 147p. Paper, $80.00 (ISBN 978-1538121764).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
altikriti2007,2007,2000s,Library Trends,"""Stuff Happens"": A Brief Overview of the 2003 Destruction of Iraqi Manuscript Collections, Archives, and Libraries",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
altman2009,2009,2000s,Library Trends,"Transformative Effects of NDIIPP, the Case of the Henry A. Murray Archive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
alverson2019,2019,2010s,College & Research Libraries,Authentic Assessment of Student Learning in an Online Class: Implications for Embedded Practice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ambrozic2015,2015,2010s,Library Trends,Libraries and the Library System of Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
anable1973,1973,1970s,Information Technology and Libraries,"The Ad Hoc Discussion Group on Serials Data Bases: Its History, Current Position, and Future",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
anderson2017,2017,2010s,College & Research Libraries,"Andrea Baer. Information Literacy and Writing Studies in Conversation: Reenvisioning Library-Writing Program Connections. Sacramento, Calif.: Library Juice Press, 2016. 202p. Paper, $28.00 (ISBN 978-1-63400-021-5). LC 2016031944.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
anderson2018,2018,2010s,College & Research Libraries,"Kevin Michael Klipfel and Dani Brecher Cook. Learner-Centered Pedagogy: Principles and Practice. Chicago, Ill.: ALA Editions, 2017. 208p. Paper, $60.00 (ISBN 978-0-8389-1557-8). LC 2016058814.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
anderson2019,2019,2010s,College & Research Libraries,"Digital Literacy Unpacked. Katharine Reedy and Jo Parker, eds. London: Facet Publishing, 2018. 240p. $87.99 (ISBN: 978-1-78330-197-3).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
anderson2020-1,2020,2020s,College & Research Libraries,"Peter Botticelli, Martha R. Mahard, and Michèle V. Cloonan. Libraries, Archives, and Museums Today: Insights from the Field. Lanham, MD: Rowman Littlefield, 2019. 169p. Paper, $33.00 (ISBN 978-1-5381-2555-7).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
anderson2020-2,2020,2020s,College & Research Libraries,"Library Usage, Instruction, and Student Success across Disciplines: A Multilevel Model Approach",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
anderson2020,2020,2020s,College & Research Libraries,"Melissa A. Wong. Instructional Design for LIS Professionals: A Guide for Teaching Librarians and Information Science Professionals. Santa Barbara, CA: Libraries Unlimited, 2019. 280p. Paper, $85.00 (ISBN 978-1-4408-6713-2). LC 2018058323.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderson2022,2022,2020s,College & Research Libraries,"Heidi E. Buchanan and Beth A. McDonough. The One-Shot Library Instruction Survival Guide, 3rd ed. Chicago, IL: ALA Editions, 2021. 176p. Paper, $54.99 (ISBN: 978-0-8389-4997-9).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
anderson2023,2023,2020s,Library Trends,Centering Indigenous Perspectives in Library Collections: A Lesson in Cultural Humility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andrews2022,2022,2020s,College & Research Libraries,"Routledge Handbook of Critical Indigenous Studies. Brendan Hokowhitu, Aileen Moreton-Robinson, Linda Tuhiwai-Smith, Chris Andersen, and Steve Larkin, eds. Milton Park, UK: Routledge, 2020. 632p, 32 B/W illustrations. $250.00 (ISBN 978-1138341302).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
andriyani2026,2026,2020s,Information Technology and Libraries,Enhancing Information Technology Governance at the University of Riau Library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
angell2023,2023,2020s,Information Technology and Libraries,Privacy Audit of Public Access Computers and Networks at a Public College Library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anghelescu2015-1,2015,2010s,Library Trends,Libraries in Moldova: The Road to Renewal in Hard Economic Times,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
anghelescu2015,2015,2010s,Library Trends,Regime Change in Romania: A Quarter-Century Impact on Libraries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
antell2006,2006,2000s,College & Research Libraries,Conduciveness to Scholarship: The Essence of Academic Library as Place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
antell2014,2014,2010s,College & Research Libraries,Dealing with Data: Science Librarians’ Participation in Data Management at Association of Research Libraries Institutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antelman2004,2004,2000s,College & Research Libraries,Do Open-Access Articles Have a Greater Research Impact?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
antelman2006,2006,2000s,Information Technology and Libraries,Toward a Twenty-First Century Catalog,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antelman2025,2025,2020s,College & Research Libraries,Respecting Privacy of Thought in DEI Training,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antobamntekudzi2023,2023,2020s,College & Research Libraries,"Janet Pinkley and Kaela Casey, eds. The Community College Library: Assessment. Chicago, IL: ACRL Press, 2022. 214p. Paper, $72 (ISBN: 978-0838939017).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appedu2025,2025,2020s,Library Trends,Transcending Binaries of Agency through Librarians’ Discursive Constructions of AI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
appelt2010,2010,2010s,College & Research Libraries,Assess and Invest: Faculty Feedback on Library Tutorials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple2012,2012,2010s,Library Trends,"Seeking Perfect Motherhood: Women, Medicine, and Libraries",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
araujo2025,2025,2020s,Library Trends,Critical Information Literacy as a Compass: Using Generative AI in Academic Research and Writing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
arave2023,2023,2020s,College & Research Libraries,"Teaching Business Information Literacy. Genifer Snipes, Marlinda Karo, Ash E. Faulkner, and Lauren Reiter, eds. Chicago, IL: ACRL Press, 2022. 412 p. Paper, $98 (ISBN: 978-0-8389-3909-3).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
arch2019,2019,2010s,College & Research Libraries,First Principles: Designing Services for First-Generation Students,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
archambault2025,2025,2020s,Library Trends,Fostering AI Literacy in Undergraduates: A ChatGPT Workshop Case Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
arellanodouglas2022,2022,2020s,College & Research Libraries,"The Power of Presence: One-Shots, Relational Teaching, and Instruction Librarianship",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
arendt2019,2019,2010s,College & Research Libraries,"Same Question, Different World: Replicating an Open Access Research Impact Study",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
arms1974,1974,1970s,Information Technology and Libraries,A Simulation Model for Purchasing Duplicate Copies in a Library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arthur2023,2023,2020s,College & Research Libraries,"Daniel Levin Becker. What’s Good: Notes on Rap and Language. San Francisco, CA: City Lights Books, 2022. 312p. Trade Paper. $22.95. (ISBN 978-0-87286-876-2).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
asato2014,2014,2010s,Library Trends,"Librarians’ Free Speech: The Challenge of Librarians’ Own Intellectual Freedom to the American Library Association, 1946–2007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ashenfelder2009,2009,2000s,Library Trends,NDIIPP Models for Mass Data Transmission and Storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
asher2009,2009,2000s,College & Research Libraries,Serving Generation 1.5: Academic Library Use and Students from Non–English-Speaking Households,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
asher2013,2013,2010s,College & Research Libraries,"Paths of Discovery: Comparing the Search Effectiveness of EBSCO Discovery Service, Summon, Google Scholar, and Conventional Library Resources",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ashmore2002,2002,2000s,College & Research Libraries,From Scraps to Reams: A Survey of Printing Services in Academic Libraries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
atherton1970-1,1970,1970s,Information Technology and Libraries,Teaching with MARC Tapes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
atherton1970,1970,1970s,Information Technology and Libraries,"LC/MARC on MOLDS; An Experiment in Computer-Based Interactive Bibliographic Storage, Search, Retrieval, and Processing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
atilano2024,2024,2020s,College & Research Libraries,"Unframing the Visual: Visual Literacy Pedagogy in Academic Libraries and Information Spaces, Maggie Murphy, Stephanie Beene, Katie Greer, Sara Schumacher, and Dana Statton Thompson (eds.), ACRL, 2024. 452p. Softcover, $108.00. 9780838939918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
atinmo2007,2007,2000s,Library Trends,Setting Up a Computerized Catalog and Distribution Database of Alternative Format Materials for Blind and Visually Impaired Persons in Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atkins2005,2005,2000s,Information Technology and Libraries,From the Great Smokies to the Mountains of the Moon: U.S. and Ugandan Librarians Collaborate in a Digital World,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
attig2004,2004,2000s,College & Research Libraries,Context and Meaning: The Challenges of Metadata for a Digital Image Library within the University,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
