article_id,year,feature_group,feature_value,feature_column,present
37INN9W2,2024,source_type,peer_reviewed_journal_article,source_type__peer_reviewed_journal_article,1
37INN9W2,2024,evidence_type,evidence_synthesis,evidence_type__evidence_synthesis,1
37INN9W2,2024,primary_methodology,evidence_synthesis,primary_methodology__evidence_synthesis,1
37INN9W2,2024,conceptual_theme,educational_psychology,conceptual_theme__educational_psychology,1
37INN9W2,2024,conceptual_theme,game_literacy,conceptual_theme__game_literacy,1
37INN9W2,2024,library_context,non_library_context,library_context__non_library_context,1
37INN9W2,2024,game_format,digital_game,game_format__digital_game,1
37INN9W2,2024,game_format,gamification,game_format__gamification,1
37INN9W2,2024,service_area,learning_and_literacy,service_area__learning_and_literacy,1
37INN9W2,2024,service_audience,students,service_audience__students,1
37INN9W2,2024,intended_outcome,learning_and_literacy,intended_outcome__learning_and_literacy,1
37INN9W2,2024,evidence_confidence,demonstrated_outcome,evidence_confidence__demonstrated_outcome,1
37INN9W2,2024,service_conditions_addressed,access_infrastructure_required,service_conditions_addressed__access_infrastructure_required,1
37INN9W2,2024,service_conditions_addressed,skilled_facilitation_required,service_conditions_addressed__skilled_facilitation_required,1
37INN9W2,2024,service_conditions_addressed,evaluation_or_reflection,service_conditions_addressed__evaluation_or_reflection,1
ZRJCFVSK,2024,source_type,peer_reviewed_journal_article,source_type__peer_reviewed_journal_article,1
ZRJCFVSK,2024,evidence_type,empirical_study,evidence_type__empirical_study,1
ZRJCFVSK,2024,primary_methodology,survey,primary_methodology__survey,1
ZRJCFVSK,2024,conceptual_theme,game_literacy,conceptual_theme__game_literacy,1
ZRJCFVSK,2024,conceptual_theme,information_behavior_and_practice,conceptual_theme__information_behavior_and_practice,1
ZRJCFVSK,2024,library_context,non_library_context,library_context__non_library_context,1
ZRJCFVSK,2024,game_format,card_game,game_format__card_game,1
ZRJCFVSK,2024,game_format,digital_game,game_format__digital_game,1
ZRJCFVSK,2024,service_area,learning_and_literacy,service_area__learning_and_literacy,1
ZRJCFVSK,2024,service_audience,students,service_audience__students,1
ZRJCFVSK,2024,intended_outcome,learning_and_literacy,intended_outcome__learning_and_literacy,1
ZRJCFVSK,2024,evidence_confidence,demonstrated_outcome,evidence_confidence__demonstrated_outcome,1
ZRJCFVSK,2024,service_conditions_addressed,access_infrastructure_required,service_conditions_addressed__access_infrastructure_required,1
ZRJCFVSK,2024,service_conditions_addressed,skilled_facilitation_required,service_conditions_addressed__skilled_facilitation_required,1
ZRJCFVSK,2024,service_conditions_addressed,inclusive_design_or_accessibility,service_conditions_addressed__inclusive_design_or_accessibility,1
NZ5ZLFV2,2017,source_type,professional_publication,source_type__professional_publication,1
NZ5ZLFV2,2017,evidence_type,practitioner_reflection,evidence_type__practitioner_reflection,1
NZ5ZLFV2,2017,primary_methodology,qualitative_study,primary_methodology__qualitative_study,1
NZ5ZLFV2,2017,conceptual_theme,game_literacy,conceptual_theme__game_literacy,1
NZ5ZLFV2,2017,conceptual_theme,service_ecology,conceptual_theme__service_ecology,1
NZ5ZLFV2,2017,library_context,school_library,library_context__school_library,1
NZ5ZLFV2,2017,game_format,tabletop_game,game_format__tabletop_game,1
NZ5ZLFV2,2017,game_format,tabletop_roleplaying_game,game_format__tabletop_roleplaying_game,1
NZ5ZLFV2,2017,service_area,learning_and_literacy,service_area__learning_and_literacy,1
NZ5ZLFV2,2017,service_area,community_and_inclusion,service_area__community_and_inclusion,1
NZ5ZLFV2,2017,service_audience,students,service_audience__students,1
NZ5ZLFV2,2017,intended_outcome,learning_and_literacy,intended_outcome__learning_and_literacy,1
NZ5ZLFV2,2017,evidence_confidence,practitioner_knowledge,evidence_confidence__practitioner_knowledge,1
NZ5ZLFV2,2017,service_conditions_addressed,skilled_facilitation_required,service_conditions_addressed__skilled_facilitation_required,1
NZ5ZLFV2,2017,service_conditions_addressed,inclusive_design_or_accessibility,service_conditions_addressed__inclusive_design_or_accessibility,1
VITHPF47,2022,source_type,professional_publication,source_type__professional_publication,1
VITHPF47,2022,evidence_type,practitioner_reflection,evidence_type__practitioner_reflection,1
VITHPF47,2022,primary_methodology,none,primary_methodology__none,1
VITHPF47,2022,conceptual_theme,games_as_cultural_media,conceptual_theme__games_as_cultural_media,1
VITHPF47,2022,conceptual_theme,service_ecology,conceptual_theme__service_ecology,1
VITHPF47,2022,conceptual_theme,information_behavior_and_practice,conceptual_theme__information_behavior_and_practice,1
VITHPF47,2022,library_context,public_library,library_context__public_library,1
VITHPF47,2022,game_format,tabletop_roleplaying_game,game_format__tabletop_roleplaying_game,1
VITHPF47,2022,service_area,programming_and_facilitation,service_area__programming_and_facilitation,1
VITHPF47,2022,service_audience,teens,service_audience__teens,1
VITHPF47,2022,intended_outcome,belonging_and_community,intended_outcome__belonging_and_community,1
VITHPF47,2022,evidence_confidence,practitioner_knowledge,evidence_confidence__practitioner_knowledge,1
VITHPF47,2022,service_conditions_addressed,access_infrastructure_required,service_conditions_addressed__access_infrastructure_required,1
VITHPF47,2022,service_conditions_addressed,skilled_facilitation_required,service_conditions_addressed__skilled_facilitation_required,1
VITHPF47,2022,service_conditions_addressed,inclusive_design_or_accessibility,service_conditions_addressed__inclusive_design_or_accessibility,1
5Z6P5ADC,2023,source_type,professional_publication,source_type__professional_publication,1
5Z6P5ADC,2023,evidence_type,practitioner_reflection,evidence_type__practitioner_reflection,1
5Z6P5ADC,2023,primary_methodology,none,primary_methodology__none,1
5Z6P5ADC,2023,conceptual_theme,games_as_cultural_media,conceptual_theme__games_as_cultural_media,1
5Z6P5ADC,2023,conceptual_theme,participatory_culture_and_production,conceptual_theme__participatory_culture_and_production,1
5Z6P5ADC,2023,library_context,public_library,library_context__public_library,1
5Z6P5ADC,2023,game_format,tabletop_roleplaying_game,game_format__tabletop_roleplaying_game,1
5Z6P5ADC,2023,service_area,creation_and_making,service_area__creation_and_making,1
5Z6P5ADC,2023,service_area,learning_and_literacy,service_area__learning_and_literacy,1
5Z6P5ADC,2023,service_area,community_and_inclusion,service_area__community_and_inclusion,1
5Z6P5ADC,2023,service_audience,general_public,service_audience__general_public,1
5Z6P5ADC,2023,intended_outcome,creativity_and_production,intended_outcome__creativity_and_production,1
5Z6P5ADC,2023,evidence_confidence,descriptive_only,evidence_confidence__descriptive_only,1
5Z6P5ADC,2023,service_conditions_addressed,inclusive_design_or_accessibility,service_conditions_addressed__inclusive_design_or_accessibility,1
RTW4QTRW,2016,source_type,peer_reviewed_journal_article,source_type__peer_reviewed_journal_article,1
RTW4QTRW,2016,evidence_type,theoretical_or_conceptual,evidence_type__theoretical_or_conceptual,1
RTW4QTRW,2016,primary_methodology,none,primary_methodology__none,1
RTW4QTRW,2016,conceptual_theme,information_behavior_and_practice,conceptual_theme__information_behavior_and_practice,1
RTW4QTRW,2016,conceptual_theme,educational_psychology,conceptual_theme__educational_psychology,1
RTW4QTRW,2016,conceptual_theme,service_ecology,conceptual_theme__service_ecology,1
RTW4QTRW,2016,library_context,academic_library,library_context__academic_library,1
RTW4QTRW,2016,game_format,unspecified_game_format,game_format__unspecified_game_format,1
RTW4QTRW,2016,service_area,learning_and_literacy,service_area__learning_and_literacy,1
RTW4QTRW,2016,service_area,discovery_and_advisory,service_area__discovery_and_advisory,1
RTW4QTRW,2016,service_area,professional_capacity,service_area__professional_capacity,1
RTW4QTRW,2016,service_audience,students,service_audience__students,1
RTW4QTRW,2016,intended_outcome,learning_and_literacy,intended_outcome__learning_and_literacy,1
RTW4QTRW,2016,evidence_confidence,theoretical_or_conceptual,evidence_confidence__theoretical_or_conceptual,1
RTW4QTRW,2016,service_conditions_addressed,evaluation_or_reflection,service_conditions_addressed__evaluation_or_reflection,1
RTW4QTRW,2016,service_conditions_addressed,institutional_capacity,service_conditions_addressed__institutional_capacity,1
2QU6TCDA,2014,source_type,dissertation_or_thesis,source_type__dissertation_or_thesis,1
2QU6TCDA,2014,evidence_type,evidence_synthesis,evidence_type__evidence_synthesis,1
2QU6TCDA,2014,primary_methodology,evidence_synthesis,primary_methodology__evidence_synthesis,1
2QU6TCDA,2014,conceptual_theme,games_as_cultural_media,conceptual_theme__games_as_cultural_media,1
2QU6TCDA,2014,conceptual_theme,participatory_culture_and_production,conceptual_theme__participatory_culture_and_production,1
2QU6TCDA,2014,conceptual_theme,game_literacy,conceptual_theme__game_literacy,1
2QU6TCDA,2014,library_context,non_library_context,library_context__non_library_context,1
2QU6TCDA,2014,game_format,digital_game,game_format__digital_game,1
2QU6TCDA,2014,game_format,tabletop_game,game_format__tabletop_game,1
2QU6TCDA,2014,game_format,virtual_or_augmented_reality,game_format__virtual_or_augmented_reality,1
2QU6TCDA,2014,service_area,learning_and_literacy,service_area__learning_and_literacy,1
2QU6TCDA,2014,service_area,community_and_inclusion,service_area__community_and_inclusion,1
2QU6TCDA,2014,service_area,cultural_heritage_and_research,service_area__cultural_heritage_and_research,1
2QU6TCDA,2014,service_audience,general_public,service_audience__general_public,1
2QU6TCDA,2014,intended_outcome,learning_and_literacy,intended_outcome__learning_and_literacy,1
2QU6TCDA,2014,evidence_confidence,practitioner_knowledge,evidence_confidence__practitioner_knowledge,1
2QU6TCDA,2014,service_conditions_addressed,access_infrastructure_required,service_conditions_addressed__access_infrastructure_required,1
2QU6TCDA,2014,service_conditions_addressed,skilled_facilitation_required,service_conditions_addressed__skilled_facilitation_required,1
2QU6TCDA,2014,service_conditions_addressed,inclusive_design_or_accessibility,service_conditions_addressed__inclusive_design_or_accessibility,1
R55LL85J,2024,source_type,unpublished_document,source_type__unpublished_document,1
R55LL85J,2024,evidence_type,practitioner_reflection,evidence_type__practitioner_reflection,1
R55LL85J,2024,primary_methodology,survey,primary_methodology__survey,1
R55LL85J,2024,conceptual_theme,games_as_cultural_media,conceptual_theme__games_as_cultural_media,1
R55LL85J,2024,conceptual_theme,participatory_culture_and_production,conceptual_theme__participatory_culture_and_production,1
R55LL85J,2024,conceptual_theme,game_literacy,conceptual_theme__game_literacy,1
R55LL85J,2024,conceptual_theme,service_ecology,conceptual_theme__service_ecology,1
R55LL85J,2024,conceptual_theme,information_behavior_and_practice,conceptual_theme__information_behavior_and_practice,1
R55LL85J,2024,conceptual_theme,educational_psychology,conceptual_theme__educational_psychology,1
R55LL85J,2024,conceptual_theme,social_equity_and_access,conceptual_theme__social_equity_and_access,1
R55LL85J,2024,library_context,public_library,library_context__public_library,1
R55LL85J,2024,game_format,digital_game,game_format__digital_game,1
R55LL85J,2024,game_format,tabletop_game,game_format__tabletop_game,1
R55LL85J,2024,game_format,tabletop_roleplaying_game,game_format__tabletop_roleplaying_game,1
R55LL85J,2024,game_format,escape_room_or_breakout_box,game_format__escape_room_or_breakout_box,1
R55LL85J,2024,game_format,game_creation,game_format__game_creation,1
R55LL85J,2024,service_area,programming_and_facilitation,service_area__programming_and_facilitation,1
R55LL85J,2024,service_area,collections_and_access,service_area__collections_and_access,1
R55LL85J,2024,service_area,learning_and_literacy,service_area__learning_and_literacy,1
R55LL85J,2024,service_area,community_and_inclusion,service_area__community_and_inclusion,1
R55LL85J,2024,service_audience,general_public,service_audience__general_public,1
R55LL85J,2024,intended_outcome,engagement_and_participation,intended_outcome__engagement_and_participation,1
R55LL85J,2024,evidence_confidence,practitioner_knowledge,evidence_confidence__practitioner_knowledge,1
R55LL85J,2024,service_conditions_addressed,access_infrastructure_required,service_conditions_addressed__access_infrastructure_required,1
R55LL85J,2024,service_conditions_addressed,skilled_facilitation_required,service_conditions_addressed__skilled_facilitation_required,1
R55LL85J,2024,service_conditions_addressed,community_assessment_needed,service_conditions_addressed__community_assessment_needed,1
R55LL85J,2024,service_conditions_addressed,inclusive_design_or_accessibility,service_conditions_addressed__inclusive_design_or_accessibility,1
R55LL85J,2024,service_conditions_addressed,evaluation_or_reflection,service_conditions_addressed__evaluation_or_reflection,1
7GVIIXMR,2025,source_type,peer_reviewed_journal_article,source_type__peer_reviewed_journal_article,1
7GVIIXMR,2025,evidence_type,empirical_study,evidence_type__empirical_study,1
7GVIIXMR,2025,primary_methodology,survey,primary_methodology__survey,1
7GVIIXMR,2025,conceptual_theme,educational_psychology,conceptual_theme__educational_psychology,1
7GVIIXMR,2025,conceptual_theme,game_literacy,conceptual_theme__game_literacy,1
7GVIIXMR,2025,library_context,non_library_context,library_context__non_library_context,1
7GVIIXMR,2025,game_format,digital_game,game_format__digital_game,1
7GVIIXMR,2025,service_area,learning_and_literacy,service_area__learning_and_literacy,1
7GVIIXMR,2025,service_audience,students,service_audience__students,1
7GVIIXMR,2025,intended_outcome,learning_and_literacy,intended_outcome__learning_and_literacy,1
7GVIIXMR,2025,evidence_confidence,demonstrated_outcome,evidence_confidence__demonstrated_outcome,1
7GVIIXMR,2025,service_conditions_addressed,access_infrastructure_required,service_conditions_addressed__access_infrastructure_required,1
7GVIIXMR,2025,service_conditions_addressed,skilled_facilitation_required,service_conditions_addressed__skilled_facilitation_required,1
7GVIIXMR,2025,service_conditions_addressed,inclusive_design_or_accessibility,service_conditions_addressed__inclusive_design_or_accessibility,1
AB6TZT7M,2023,source_type,peer_reviewed_journal_article,source_type__peer_reviewed_journal_article,1
AB6TZT7M,2023,evidence_type,empirical_study,evidence_type__empirical_study,1
AB6TZT7M,2023,primary_methodology,mixed_methods,primary_methodology__mixed_methods,1
AB6TZT7M,2023,conceptual_theme,educational_psychology,conceptual_theme__educational_psychology,1
AB6TZT7M,2023,conceptual_theme,game_literacy,conceptual_theme__game_literacy,1
AB6TZT7M,2023,library_context,school_library,library_context__school_library,1
AB6TZT7M,2023,game_format,digital_game,game_format__digital_game,1
AB6TZT7M,2023,service_area,learning_and_literacy,service_area__learning_and_literacy,1
AB6TZT7M,2023,service_audience,children,service_audience__children,1
AB6TZT7M,2023,intended_outcome,learning_and_literacy,intended_outcome__learning_and_literacy,1
AB6TZT7M,2023,evidence_confidence,demonstrated_outcome,evidence_confidence__demonstrated_outcome,1
AB6TZT7M,2023,service_conditions_addressed,skilled_facilitation_required,service_conditions_addressed__skilled_facilitation_required,1
AB6TZT7M,2023,service_conditions_addressed,access_infrastructure_required,service_conditions_addressed__access_infrastructure_required,1
WNZ7L4A2,2024,source_type,peer_reviewed_journal_article,source_type__peer_reviewed_journal_article,1
WNZ7L4A2,2024,evidence_type,evidence_synthesis,evidence_type__evidence_synthesis,1
WNZ7L4A2,2024,primary_methodology,evidence_synthesis,primary_methodology__evidence_synthesis,1
WNZ7L4A2,2024,conceptual_theme,educational_psychology,conceptual_theme__educational_psychology,1
WNZ7L4A2,2024,conceptual_theme,information_behavior_and_practice,conceptual_theme__information_behavior_and_practice,1
WNZ7L4A2,2024,library_context,non_library_context,library_context__non_library_context,1
WNZ7L4A2,2024,game_format,digital_game,game_format__digital_game,1
WNZ7L4A2,2024,service_area,learning_and_literacy,service_area__learning_and_literacy,1
WNZ7L4A2,2024,service_audience,students,service_audience__students,1
WNZ7L4A2,2024,intended_outcome,learning_and_literacy,intended_outcome__learning_and_literacy,1
WNZ7L4A2,2024,evidence_confidence,demonstrated_outcome,evidence_confidence__demonstrated_outcome,1
WNZ7L4A2,2024,service_conditions_addressed,access_infrastructure_required,service_conditions_addressed__access_infrastructure_required,1
WNZ7L4A2,2024,service_conditions_addressed,skilled_facilitation_required,service_conditions_addressed__skilled_facilitation_required,1
WNZ7L4A2,2024,service_conditions_addressed,evaluation_or_reflection,service_conditions_addressed__evaluation_or_reflection,1
FLHZXQRL,2023,source_type,peer_reviewed_journal_article,source_type__peer_reviewed_journal_article,1
FLHZXQRL,2023,evidence_type,empirical_study,evidence_type__empirical_study,1
FLHZXQRL,2023,primary_methodology,evidence_synthesis,primary_methodology__evidence_synthesis,1
FLHZXQRL,2023,conceptual_theme,educational_psychology,conceptual_theme__educational_psychology,1
FLHZXQRL,2023,library_context,non_library_context,library_context__non_library_context,1
FLHZXQRL,2023,game_format,digital_game,game_format__digital_game,1
FLHZXQRL,2023,service_area,learning_and_literacy,service_area__learning_and_literacy,1
FLHZXQRL,2023,service_audience,students,service_audience__students,1
FLHZXQRL,2023,intended_outcome,learning_and_literacy,intended_outcome__learning_and_literacy,1
FLHZXQRL,2023,evidence_confidence,demonstrated_outcome,evidence_confidence__demonstrated_outcome,1
FLHZXQRL,2023,service_conditions_addressed,access_infrastructure_required,service_conditions_addressed__access_infrastructure_required,1
FLHZXQRL,2023,service_conditions_addressed,skilled_facilitation_required,service_conditions_addressed__skilled_facilitation_required,1
F7G7R2IK,2024,source_type,peer_reviewed_journal_article,source_type__peer_reviewed_journal_article,1
F7G7R2IK,2024,evidence_type,content_or_artifact_analysis,evidence_type__content_or_artifact_analysis,1
F7G7R2IK,2024,primary_methodology,case_or_design_study,primary_methodology__case_or_design_study,1
F7G7R2IK,2024,conceptual_theme,games_as_cultural_media,conceptual_theme__games_as_cultural_media,1
F7G7R2IK,2024,conceptual_theme,games_as_participatory_culture_and_production,conceptual_theme__games_as_participatory_culture_and_production,1
F7G7R2IK,2024,conceptual_theme,service_ecology,conceptual_theme__service_ecology,1
F7G7R2IK,2024,library_context,non_library_context,library_context__non_library_context,1
F7G7R2IK,2024,game_format,tabletop_game,game_format__tabletop_game,1
F7G7R2IK,2024,service_area,cultural_heritage_and_research,service_area__cultural_heritage_and_research,1
F7G7R2IK,2024,service_audience,not_applicable,service_audience__not_applicable,1
F7G7R2IK,2024,intended_outcome,cultural_stewardship_and_preservation,intended_outcome__cultural_stewardship_and_preservation,1
F7G7R2IK,2024,evidence_confidence,theoretical_or_conceptual,evidence_confidence__theoretical_or_conceptual,1
F7G7R2IK,2024,service_conditions_addressed,other,service_conditions_addressed__other,1
UU8SVMJT,2008,source_type,book,source_type__book,1
UU8SVMJT,2008,evidence_type,practitioner_reflection,evidence_type__practitioner_reflection,1
UU8SVMJT,2008,primary_methodology,none,primary_methodology__none,1
UU8SVMJT,2008,conceptual_theme,games_as_cultural_media,conceptual_theme__games_as_cultural_media,1
UU8SVMJT,2008,conceptual_theme,participatory_culture_and_production,conceptual_theme__participatory_culture_and_production,1
UU8SVMJT,2008,conceptual_theme,information_behavior_and_practice,conceptual_theme__information_behavior_and_practice,1
UU8SVMJT,2008,conceptual_theme,social_equity_and_access,conceptual_theme__social_equity_and_access,1
UU8SVMJT,2008,library_context,multiple_library_types,library_context__multiple_library_types,1
UU8SVMJT,2008,game_format,virtual_or_augmented_reality,game_format__virtual_or_augmented_reality,1
UU8SVMJT,2008,service_area,collections_and_access,service_area__collections_and_access,1
UU8SVMJT,2008,service_area,discovery_and_advisory,service_area__discovery_and_advisory,1
UU8SVMJT,2008,service_area,learning_and_literacy,service_area__learning_and_literacy,1
UU8SVMJT,2008,service_area,community_and_inclusion,service_area__community_and_inclusion,1
UU8SVMJT,2008,service_area,outreach_and_partnerships,service_area__outreach_and_partnerships,1
UU8SVMJT,2008,service_audience,general_public,service_audience__general_public,1
UU8SVMJT,2008,intended_outcome,engagement_and_participation,intended_outcome__engagement_and_participation,1
UU8SVMJT,2008,evidence_confidence,practitioner_knowledge,evidence_confidence__practitioner_knowledge,1
UU8SVMJT,2008,service_conditions_addressed,access_infrastructure_required,service_conditions_addressed__access_infrastructure_required,1
UU8SVMJT,2008,service_conditions_addressed,skilled_facilitation_required,service_conditions_addressed__skilled_facilitation_required,1
UU8SVMJT,2008,service_conditions_addressed,inclusive_design_or_accessibility,service_conditions_addressed__inclusive_design_or_accessibility,1
UU8SVMJT,2008,service_conditions_addressed,evaluation_or_reflection,service_conditions_addressed__evaluation_or_reflection,1
NCPXFTAT,2024,source_type,blog_or_web_article,source_type__blog_or_web_article,1
NCPXFTAT,2024,evidence_type,practitioner_reflection,evidence_type__practitioner_reflection,1
NCPXFTAT,2024,primary_methodology,none,primary_methodology__none,1
NCPXFTAT,2024,conceptual_theme,games_as_cultural_media,conceptual_theme__games_as_cultural_media,1
NCPXFTAT,2024,conceptual_theme,information_behavior_and_practice,conceptual_theme__information_behavior_and_practice,1
NCPXFTAT,2024,library_context,public_library,library_context__public_library,1
NCPXFTAT,2024,game_format,tabletop_game,game_format__tabletop_game,1
NCPXFTAT,2024,service_area,learning_and_literacy,service_area__learning_and_literacy,1
NCPXFTAT,2024,service_area,community_and_inclusion,service_area__community_and_inclusion,1
NCPXFTAT,2024,service_audience,general_public,service_audience__general_public,1
NCPXFTAT,2024,intended_outcome,learning_and_literacy,intended_outcome__learning_and_literacy,1
NCPXFTAT,2024,evidence_confidence,descriptive_only,evidence_confidence__descriptive_only,1
NCPXFTAT,2024,service_conditions_addressed,inclusive_design_or_accessibility,service_conditions_addressed__inclusive_design_or_accessibility,1
